response_id,response_text
1,The pace was way too fast for the first three weeks and I never recovered. I felt like I was always behind on the readings.
2,Group projects were the best part. I learned more from explaining things to my teammates than I did from any lecture.
3,Office hours were lifesaving but I wish there were more of them. By the time I got there the slot was always full.
4,The quizzes were too tricky on small wording differences. I knew the material but kept losing points on traps.
5,I loved the section where we got to design our own experiments. More of that please.
6,Honestly the tech kept breaking. The Canvas page would not load assignments half the time and that made the deadlines stressful.
7,I wish the rubric had been shared at the start of each project instead of after the first draft.
8,Reading was way too much for a 3-credit course. I literally could not finish it most weeks.
9,I appreciated that you took attendance because it pushed me to actually show up and once I was there I always learned something.
10,The professor was super engaging in lecture but the TAs in section seemed unprepared.
11,I think the discussion board was a waste. Nobody read each other's posts.
12,Best class I've taken at ASU. The way you tied the readings to current events made everything click.
13,Late policy was way too strict. One bad week and your grade tanks.
14,Group dynamics were rough — one person did most of the work in my group and there was nothing the rest of us could do about it.
15,Loved the guest speakers. The one in week 8 was the highlight of the term for me.
16,Wish the lectures had been recorded so I could rewatch the parts I missed.
17,The midterm was way harder than the practice exam. Felt like a different course showed up that day.
18,I came in with no background and the first month was hard but by the end I felt like I actually understood the field.
19,The peer review assignments helped me see what good work looked like. I wish we'd done more of those.
20,Too many small assignments and not enough big projects. I felt like I was always grinding but never building anything substantial.
21,The reading list was outdated. A lot of what we read felt like it was from before the AI stuff really changed the field.
22,More examples in lecture please. Theory without examples is hard for me.
23,I really appreciated how diverse the case studies were. Felt like the course represented a lot of different perspectives.
24,Email turnaround on questions was really slow. Sometimes I'd get an answer two days after the deadline.
25,The prof was approachable but the syllabus was confusing. Half the deadlines were on Canvas and half were on the PDF and they didn't match.
26,Loved that we got to choose our final project topic. That made it feel relevant to me.
27,The participation grade penalized introverts. I knew the material but I'm not someone who jumps in during lecture.
28,Group work felt forced. We were assigned to teams that had no overlap in schedules and it was a nightmare to find time to meet.
29,Overall I learned a lot but I would not recommend this course to a friend who isn't already comfortable with the topic.
30,The course Slack channel was great. Casual peer support that actually worked.
31,More feedback on individual assignments would have helped me. The grades came back with no comments.
32,Some readings were brilliant. Some were paywalled and I couldn't access them through the library link.
33,The professor cared. You could tell. That mattered more than the rough edges.
34,Class felt repetitive in the middle. Same content from a few different angles and I lost interest by week 6.
35,The optional study sessions saved me. Whoever set those up should get a raise.
36,Course was too theoretical. I wanted more applied stuff that I could actually use.
37,Workload was insane around midterms. I had three other classes and this one alone could have been a full-time job.
38,I appreciated the flexibility around the family emergency I had in week 4. That kind of grace makes a difference.
39,Tech complaints aside this was a strong course. I feel like I came out of it understanding things I never thought I would.
40,Maybe more variety in assessment? Everything was either an essay or a quiz. Some hands-on stuff would have been welcome.
