Q#,Maynard Skill #,Skill Statement,Option A Level,Option A Score,Option B Level,Option B Score,Option C Level,Option C Score,Option D Level,Option D Score,Maps to Phase(s),Maps to Lesson Flow Rows,Gap?
1,1,"I can choose the right AI tool or platform for a specific task, explain why, and also explain when and why I might not use it.",Intermediate,2,Advanced,3,New to this,0,Foundational,1,"3, 6","15–18, 55–59",
2,2,I can use iterative back-and-forth conversations with AI to brainstorm and explore new ideas while countering its anchoring bias.,New to this,0,Intermediate,2,Foundational,1,Advanced,3,4,33–40,
3,3,"I can research a topic with AI tools and independently verify that the sources it points to are real, authoritative, and accurately represented.",Intermediate,2,New to this,0,Foundational,1,Advanced,3,5,43–48,
4,4,"I can apply fact-checking techniques to AI-generated claims and reasoning to catch hallucinations, subtle errors, and confident-but-wrong outputs.",Intermediate,2,Foundational,1,Advanced,3,New to this,0,5,43–48,
5,5,"I can critically edit and refine AI-generated content — both on my own and working with AI — so it matches my voice, standards, and accuracy.",Advanced,3,Foundational,1,New to this,0,Intermediate,2,"4, 5","33–42, 43–48",
6,6,I can build and deploy simple AI agents to automate a workflow or assist in problem-solving.,Intermediate,2,New to this,0,Foundational,1,Advanced,3,9,79–85,
7,7,I can analyze simple datasets using AI in everyday tools while applying data privacy best practices.,Foundational,1,Intermediate,2,Advanced,3,New to this,0,(gap — no current source),(new content needed),YES
8,8,"I can create professional visuals, slides, diagrams, or syntheses using AI tools, while recognizing their limitations.",Intermediate,2,New to this,0,Advanced,3,Foundational,1,(gap — no current source),(new content needed),YES
9,9,I can disclose and attribute AI assistance according to policies and best practices.,Advanced,3,Foundational,1,Intermediate,2,New to this,0,"6, 7","49–60, 61–69",
10,10,"I can discuss AI's possibilities, challenges, biases, limitations, and potential pitfalls, and how they apply to how I use it.",Foundational,1,New to this,0,Advanced,3,Intermediate,2,"1, 2, 5, 6","5–10, 11–14, 43–48, 49–60",
11,11,I can use AI creatively and imaginatively to open up new possibilities and opportunities.,Foundational,1,Intermediate,2,New to this,0,Advanced,3,7,61–69,
12,12,"I can explain how I balance curiosity, care, clarity, and intentionality in deciding when and how to use AI.",New to this,0,Foundational,1,Intermediate,2,Advanced,3,6,49–60,
13,13,"I can identify and use reliable, up-to-date resources for new insights on working effectively with AI while preserving my human strengths.",New to this,0,Intermediate,2,Advanced,3,Foundational,1,10,90–92,
14,14,I can use AI to learn how to use AI.,Foundational,1,New to this,0,Intermediate,2,Advanced,3,(gap — no current source),(new content needed),YES
